Name_old,BEZ,Name,ISO,Cumulative,Recovered,Dead,Cases,Population,Density,Date,Source,Quelle 2,Mortality,Lethality
Flensburg,Kreisfreie Stadt,Flensburg (Kreisfreie Stadt),01001,28,10,1,17,89504,312,"2020-04-06, 15:34","https://www.flensburg.de/Startseite/Aktuelle-Lagemeldungen.php?object=tx,2306.5&ModID=7&FID=2306.20404.1","https://www.flensburg.de/Startseite/Informationen-zum-Coronavirus.php?object=tx,2306.5&ModID=7&FID=2306.20374.1",11,35
Kiel,Kreisfreie Stadt,Kiel (Kreisfreie Stadt),01002,160,44,2,114,247548,646,"2020-04-06, 15:34",https://www.kiel.de/de/gesundheit_soziales/gesundheit_vorsorgen_heilen/infektionsschutz/coronavirus.php,https://www.kiel.de/de/gesundheit_soziales/gesundheit_vorsorgen_heilen/infektionsschutz/coronavirus.php,8,12
Lübeck,Kreisfreie Stadt,Lübeck (Kreisfreie Stadt),01003,103,0,1,102,217198,474,"2020-04-06, 15:34",https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,,4,9
Neumünster,Kreisfreie Stadt,Neumünster (Kreisfreie Stadt),01004,31,0,0,31,79487,390,"2020-04-06, 15:34",https://www.neumuenster.de/aktuelle-meldungen/meldung/31-bestaetigte-coronavirus-faelle/,https://www.neumuenster.de/fileadmin/neumuenster.de/media/buergerservice/Berufsfeuerwehr/katastrophenschutz/was_tun_im_kat-fall/PM7Coronavirusbestaetigt.pdf,0,0
Dithmarschen,Kreis,Dithmarschen (Kreis),01051,37,11,1,25,133210,277,"2020-04-06, 15:34",https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,https://www.dithmarschen.de/Neues-erfahren/Coronavirus,7,27
Herzogtum Lauenburg,Kreis,Herzogtum Lauenburg (Kreis),01053,155,0,2,153,197264,785,"2020-04-06, 15:34",https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,https://schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,10,12
Nordfriesland,Kreis,Nordfriesland (Kreis),01054,49,9,1,39,165507,296,"2020-04-06, 15:34",https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,"https://www.nordfriesland.de/Quicknavigation/Start/Corona-Wie-die-kommunale-Familie-Krisenarbeit-leistet.php?object=tx,2271.1&ModID=7&FID=2271.10695.1&NavID=2271.37&xn=1",6,20
Ostholstein,Kreis,Ostholstein (Kreis),01055,51,0,0,51,200581,254,"2020-04-06, 15:34",https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,0,0
Pinneberg,Kreis,Pinneberg (Kreis),01056,339,1,3,335,314391,1078,"2020-04-06, 15:34",https://www.abendblatt.de/region/pinneberg/article228853919/Zahl-der-Corona-Faelle-im-Kreis-steigt-auf-339.html,https://www.kreis-pinneberg.de/Coronavirus.html,9,8
Plön,Kreis,Plön (Kreis),01057,73,0,2,71,128647,567,"2020-04-06, 15:34",https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,15,27
Rendsburg-Eckernförde,Kreis,Rendsburg-Eckernförde (Kreis),01058,166,0,6,160,272775,608,"2020-04-06, 15:34",https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,21,36
Schleswig-Flensburg,Kreis,Schleswig-Flensburg (Kreis),01059,95,18,0,77,200025,474,"2020-04-06, 15:34",https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,"https://www.schleswig-flensburg.de/Quickmenu/Start/Corona-Verdacht-Verhaltenshinweise-des-Gesundheitsamtes.php?object=tx,2120.1&ModID=7&FID=2475.1432.1&kat=146.143&NavID=2120.7",0,0
Segeberg,Kreis,Segeberg (Kreis),01060,143,57,0,86,276032,518,"2020-04-06, 15:34",https://www.kn-online.de/Lokales/Segeberg/Covid-19-Nur-zwei-neue-Corona-Faelle-in-Segeberg-Stand-5.4,https://www.segeberg.de/coronavirus,0,0
Steinburg,Kreis,Steinburg (Kreis),01061,53,7,1,45,131347,403,"2020-04-06, 15:34",https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,7,18
Stormarn,Kreis,Stormarn (Kreis),01062,195,46,2,147,243196,801,"2020-04-06, 15:34",https://www.kreis-stormarn.de/aktuelles/pressemeldungen/2020/zahl-der-bestaetigten-corona-faelle-in-stormarn.html,https://www.kreis-stormarn.de/aktuelles/pressemeldungen/2020/zahl-der-bestaetigten-corona-faelle-in-stormarn.html,8,10
Hamburg,Kreisfreie Stadt,Hamburg (Kreisfreie Stadt),02000,3019,1640,19,1360,1841179,1639,"2020-04-06, 15:34",https://www.hamburg.de/coronavirus/pressemeldungen/,https://www.hamburg.de/coronavirus/,10,6
Braunschweig,Kreisfreie Stadt,Braunschweig (Kreisfreie Stadt),03101,225,64,5,156,248292,906,"2020-04-06, 15:34",https://www.braunschweig.de/aktuell/aktuelle-informationen.php#Aktuelle_Zahlen,,20,22
Salzgitter,Kreisfreie Stadt,Salzgitter (Kreisfreie Stadt),03102,70,42,1,27,104948,666,"2020-04-06, 15:34",https://www.niedersachsen.de/Coronavirus/aktuelle_lage_in_niedersachsen/,,9,14
Wolfsburg,Kreisfreie Stadt,Wolfsburg (Kreisfreie Stadt),03103,221,0,28,193,124151,1780,"2020-04-06, 15:34",https://www.wolfsburg.de/newsroom/2020/02/26/13/41/coronavirus,https://www.wolfsburg.de/newsroom/2020/02/26/13/41/coronavirus,225,126
Gifhorn,Landkreis,Gifhorn (Landkreis),03151,96,0,0,96,175920,545,"2020-04-06, 15:34",https://www.gifhorn.de/start/nachricht-startseite/news/aktuelle-informationen-zum-coronavirus-10/,,0,0
Goslar,Landkreis,Goslar (Landkreis),03153,82,14,3,65,137014,598,"2020-04-06, 15:34",https://www.niedersachsen.de/Coronavirus/aktuelle_lage_in_niedersachsen/,https://www.niedersachsen.de/Coronavirus/aktuelle_lage_in_niedersachsen/,21,36
Helmstedt,Landkreis,Helmstedt (Landkreis),03154,82,24,0,58,91307,898,"2020-04-06, 15:34",https://www.helmstedt.de/verwaltung/dienstleistungen/dienstleistung.php?id=692&menuid=662&refmenuid=1114&reftopmenu=782&topmenu=637,,0,0
Northeim,Landkreis,Northeim (Landkreis),03155,53,18,0,35,132765,399,"2020-04-06, 15:34",https://www.landkreis-northeim.de/portal/meldungen/entwicklung-des-infektionsgeschehens-03-04-2020--900001836-23900.html?rubrik=900000047,https://www.landkreis-northeim.de/,0,0
Peine,Landkreis,Peine (Landkreis),03157,110,32,4,74,133965,821,"2020-04-06, 15:34",https://www.landkreis-peine.de/Aktuelles-B%C3%BCrgerservice/Coronaviren,"https://www.landkreis-peine.de/Aktuelles-B%C3%BCrgerservice/Archiv-Pressemitteilungen/Infobox-Coronavirus.php?object=tx,2555.5&ModID=7&FID=2555.4794.1&NavID=2555.17.1",29,36
